query,neighbor,distance,rank
c2_uuid_4c0d80da.nc,c2_uuid_ff53a69a.nc,5.824667628495786,17
c2_uuid_4c0d80da.nc,c2_uuid_80ab3494.nc,6.188248675403314,18
c2_uuid_4c0d80da.nc,c2_uuid_ec81d97e.nc,8.627181177155446,19
c2_uuid_4df18da4.nc,c2_uuid_735327ae.nc,2.1881932280990526,1
c2_uuid_4df18da4.nc,c2_uuid_dc364aad.nc,3.2553740695386524,2
c2_uuid_4df18da4.nc,c2_uuid_a8aaadc4.nc,3.311345110440132,3
c2_uuid_4df18da4.nc,c2_uuid_f544906f.nc,3.317522845911981,4
c2_uuid_4df18da4.nc,c2_uuid_fca79975.nc,3.615351504262876,5
c2_uuid_4df18da4.nc,c2_uuid_c6fae318.nc,3.8284461123503006,6
c2_uuid_4df18da4.nc,c2_uuid_aa20f8c4.nc,3.8293283101008186,7
c2_uuid_4df18da4.nc,c2_uuid_d60e0f4a.nc,4.308590652893379,8
c2_uuid_4df18da4.nc,c2_uuid_aebda966.nc,4.349039468670397,9
c2_uuid_4df18da4.nc,c2_uuid_49511e7b.nc,4.366406422336915,10
c2_uuid_4df18da4.nc,c2_uuid_4c0d80da.nc,4.43407202687033,11
c2_uuid_4df18da4.nc,c2_uuid_ff53a69a.nc,4.533424888136378,12
c2_uuid_4df18da4.nc,c2_uuid_fbf4a196.nc,4.584945103042116,13
c2_uuid_4df18da4.nc,c2_uuid_fa40c633.nc,5.076956487334477,14
c2_uuid_4df18da4.nc,c2_uuid_4b4eea26.nc,5.320893053202193,15
c2_uuid_4df18da4.nc,c2_uuid_495c8cf2.nc,5.473298428788971,16
c2_uuid_4df18da4.nc,c2_uuid_80ab3494.nc,5.842189577756379,17
c2_uuid_4df18da4.nc,c2_uuid_eb59c68d.nc,5.875509334329113,18
c2_uuid_4df18da4.nc,c2_uuid_ec81d97e.nc,11.04165102557619,19
c2_uuid_735327ae.nc,c2_uuid_4df18da4.nc,2.1881932280990526,1
c2_uuid_735327ae.nc,c2_uuid_dc364aad.nc,2.6850088256660127,2
c2_uuid_735327ae.nc,c2_uuid_aa20f8c4.nc,2.7179789692863516,3
c2_uuid_735327ae.nc,c2_uuid_c6fae318.nc,2.826001768118937,4
c2_uuid_735327ae.nc,c2_uuid_49511e7b.nc,2.920806299306552,5
c2_uuid_735327ae.nc,c2_uuid_aebda966.nc,3.089319587373575,6
c2_uuid_735327ae.nc,c2_uuid_fca79975.nc,3.138376683405949,7
c2_uuid_735327ae.nc,c2_uuid_a8aaadc4.nc,3.4429783290210567,8
c2_uuid_735327ae.nc,c2_uuid_fa40c633.nc,3.8886484801389267,9
c2_uuid_735327ae.nc,c2_uuid_4b4eea26.nc,4.065619558923862,10
c2_uuid_735327ae.nc,c2_uuid_495c8cf2.nc,4.161930706320516,11
c2_uuid_735327ae.nc,c2_uuid_d60e0f4a.nc,4.186466219218221,12
c2_uuid_735327ae.nc,c2_uuid_ff53a69a.nc,4.249458531173054,13
c2_uuid_735327ae.nc,c2_uuid_eb59c68d.nc,4.509336193834711,14
c2_uuid_735327ae.nc,c2_uuid_80ab3494.nc,4.596404155462649,15
c2_uuid_735327ae.nc,c2_uuid_f544906f.nc,4.680091001322131,16
c2_uuid_735327ae.nc,c2_uuid_4c0d80da.nc,4.701061642655213,17
c2_uuid_735327ae.nc,c2_uuid_fbf4a196.nc,4.855689606595738,18
c2_uuid_735327ae.nc,c2_uuid_ec81d97e.nc,10.39820794053629,19
c2_uuid_80ab3494.nc,c2_uuid_495c8cf2.nc,0.7868567816356887,1
c2_uuid_80ab3494.nc,c2_uuid_4b4eea26.nc,0.8151147375338694,2
c2_uuid_80ab3494.nc,c2_uuid_fa40c633.nc,1.6027791841287267,3
c2_uuid_80ab3494.nc,c2_uuid_eb59c68d.nc,1.8094246276609693,4
c2_uuid_80ab3494.nc,c2_uuid_49511e7b.nc,2.6972202650562616,5
c2_uuid_80ab3494.nc,c2_uuid_aebda966.nc,3.016236162449258,6
c2_uuid_80ab3494.nc,c2_uuid_aa20f8c4.nc,3.293136398079453,7
c2_uuid_80ab3494.nc,c2_uuid_d60e0f4a.nc,3.578333773314147,8
c2_uuid_80ab3494.nc,c2_uuid_ff53a69a.nc,3.9171152362419797,9
c2_uuid_80ab3494.nc,c2_uuid_c6fae318.nc,4.23212310843853,10
c2_uuid_80ab3494.nc,c2_uuid_fca79975.nc,4.289273673793938,11
