query,neighbor,distance,rank
c2_uuid_4c0d80da.nc,c2_uuid_d60e0f4a.nc,4.9550441665604446,7
c2_uuid_4c0d80da.nc,c2_uuid_fca79975.nc,5.03805239284776,8
c2_uuid_4c0d80da.nc,c2_uuid_fa40c633.nc,5.140948280009718,9
c2_uuid_4c0d80da.nc,c2_uuid_aa20f8c4.nc,5.246329371320853,10
c2_uuid_4c0d80da.nc,c2_uuid_49511e7b.nc,5.2849361553453695,11
c2_uuid_4c0d80da.nc,c2_uuid_aebda966.nc,5.390573756395561,12
c2_uuid_4c0d80da.nc,c2_uuid_eb59c68d.nc,5.52685391260748,13
c2_uuid_4c0d80da.nc,c2_uuid_495c8cf2.nc,5.58788494186423,14
c2_uuid_4c0d80da.nc,c2_uuid_4b4eea26.nc,5.682692207653922,15
c2_uuid_4c0d80da.nc,c2_uuid_fbf4a196.nc,5.768723827168478,16
c2_uuid_4c0d80da.nc,c2_uuid_ff53a69a.nc,5.802494431367943,17
c2_uuid_4c0d80da.nc,c2_uuid_80ab3494.nc,6.135429864940729,18
c2_uuid_4c0d80da.nc,c2_uuid_ec81d97e.nc,8.590424039169783,19
c2_uuid_4df18da4.nc,c2_uuid_735327ae.nc,1.9229342943246979,1
c2_uuid_4df18da4.nc,c2_uuid_f544906f.nc,2.973630704798816,2
c2_uuid_4df18da4.nc,c2_uuid_dc364aad.nc,3.087792088488761,3
c2_uuid_4df18da4.nc,c2_uuid_a8aaadc4.nc,3.137574120057331,4
c2_uuid_4df18da4.nc,c2_uuid_fca79975.nc,3.568503235655473,5
c2_uuid_4df18da4.nc,c2_uuid_aa20f8c4.nc,3.7127510725055926,6
c2_uuid_4df18da4.nc,c2_uuid_c6fae318.nc,3.772617802577233,7
c2_uuid_4df18da4.nc,c2_uuid_d60e0f4a.nc,4.259904902791793,8
c2_uuid_4df18da4.nc,c2_uuid_aebda966.nc,4.288196633357429,9
c2_uuid_4df18da4.nc,c2_uuid_49511e7b.nc,4.30380952887369,10
c2_uuid_4df18da4.nc,c2_uuid_4c0d80da.nc,4.366383919616744,11
c2_uuid_4df18da4.nc,c2_uuid_ff53a69a.nc,4.46829113041522,12
c2_uuid_4df18da4.nc,c2_uuid_fbf4a196.nc,4.539449869496039,13
c2_uuid_4df18da4.nc,c2_uuid_fa40c633.nc,5.0267135501965585,14
c2_uuid_4df18da4.nc,c2_uuid_4b4eea26.nc,5.270735325898403,15
c2_uuid_4df18da4.nc,c2_uuid_495c8cf2.nc,5.43665085984883,16
c2_uuid_4df18da4.nc,c2_uuid_eb59c68d.nc,5.750046155158554,17
c2_uuid_4df18da4.nc,c2_uuid_80ab3494.nc,5.795758816530868,18
c2_uuid_4df18da4.nc,c2_uuid_ec81d97e.nc,11.035581025132705,19
c2_uuid_735327ae.nc,c2_uuid_4df18da4.nc,1.9229342943246979,1
c2_uuid_735327ae.nc,c2_uuid_dc364aad.nc,2.106766856341906,2
c2_uuid_735327ae.nc,c2_uuid_aa20f8c4.nc,2.111170265706565,3
c2_uuid_735327ae.nc,c2_uuid_c6fae318.nc,2.308037857915499,4
c2_uuid_735327ae.nc,c2_uuid_49511e7b.nc,2.707401896483899,5
c2_uuid_735327ae.nc,c2_uuid_a8aaadc4.nc,2.940634758605828,6
c2_uuid_735327ae.nc,c2_uuid_aebda966.nc,2.967221432570376,7
c2_uuid_735327ae.nc,c2_uuid_fca79975.nc,2.968859847297281,8
c2_uuid_735327ae.nc,c2_uuid_fa40c633.nc,3.809521071047533,9
c2_uuid_735327ae.nc,c2_uuid_4b4eea26.nc,3.8249090964156816,10
c2_uuid_735327ae.nc,c2_uuid_d60e0f4a.nc,3.9319211069223807,11
c2_uuid_735327ae.nc,c2_uuid_495c8cf2.nc,3.9642921959236896,12
c2_uuid_735327ae.nc,c2_uuid_ff53a69a.nc,3.9788400813226055,13
c2_uuid_735327ae.nc,c2_uuid_eb59c68d.nc,4.117752098371457,14
c2_uuid_735327ae.nc,c2_uuid_f544906f.nc,4.209275209175329,15
c2_uuid_735327ae.nc,c2_uuid_80ab3494.nc,4.317110408567192,16
c2_uuid_735327ae.nc,c2_uuid_4c0d80da.nc,4.5636966237219285,17
c2_uuid_735327ae.nc,c2_uuid_fbf4a196.nc,4.661578249307841,18
c2_uuid_735327ae.nc,c2_uuid_ec81d97e.nc,10.332189286175545,19
c2_uuid_80ab3494.nc,c2_uuid_4b4eea26.nc,0.6535465697280796,1
c2_uuid_80ab3494.nc,c2_uuid_495c8cf2.nc,0.6587181150047252,2
c2_uuid_80ab3494.nc,c2_uuid_fa40c633.nc,1.3111242387109725,3
c2_uuid_80ab3494.nc,c2_uuid_eb59c68d.nc,1.7057447670780224,4
c2_uuid_80ab3494.nc,c2_uuid_49511e7b.nc,2.6004907332068736,5
c2_uuid_80ab3494.nc,c2_uuid_aebda966.nc,2.8752770002197443,6
c2_uuid_80ab3494.nc,c2_uuid_aa20f8c4.nc,3.241489687347627,7
c2_uuid_80ab3494.nc,c2_uuid_d60e0f4a.nc,3.5101966920923457,8
