query,query_class,k,representation,matches,precision,recall
c2_uuid_aa20f8c4.nc,Bay_of_Bengal,5,"PCA (5D, 95% Var)",3,0.6,0.3
c2_uuid_aebda966.nc,Bay_of_Bengal,5,"PCA (5D, 95% Var)",5,1.0,0.5
c2_uuid_c6fae318.nc,Central_India,5,"PCA (5D, 95% Var)",1,0.2,1.0
c2_uuid_d60e0f4a.nc,Bay_of_Bengal,5,"PCA (5D, 95% Var)",4,0.8,0.4
c2_uuid_dc364aad.nc,Central_India,5,"PCA (5D, 95% Var)",1,0.2,1.0
c2_uuid_eb59c68d.nc,South_India,5,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_ec81d97e.nc,Indian_Ocean_Equatorial,5,"PCA (5D, 95% Var)",0,0.0,0.0
c2_uuid_f544906f.nc,Arabian_Sea,5,"PCA (5D, 95% Var)",2,0.4,1.0
c2_uuid_fa40c633.nc,Bay_of_Bengal,5,"PCA (5D, 95% Var)",3,0.6,0.3
c2_uuid_fbf4a196.nc,Bay_of_Bengal,5,"PCA (5D, 95% Var)",5,1.0,0.5
c2_uuid_fca79975.nc,Bay_of_Bengal,5,"PCA (5D, 95% Var)",5,1.0,0.5
c2_uuid_ff53a69a.nc,Bay_of_Bengal,5,"PCA (5D, 95% Var)",5,1.0,0.5
