SID,BASIN,SEASON,NAME,exclusion_reason
 , ,Year, ,Not in target basins
1920033S15151,SP,1920,UNNAMED,Not in target basins
1920042S20168,SP,1920,UNNAMED,Not in target basins
1920341S31153,SP,1921,UNNAMED,Not in target basins
1920352S11147,SP,1921,UNNAMED,Not in target basins
1920353S10147,SP,1921,UNNAMED,Not in target basins
1921008S12139,SP,1921,UNNAMED,Not in target basins
1921020S15150,SP,1921,UNNAMED,Not in target basins
1921022S15150,SP,1921,UNNAMED,Not in target basins
1921088S12147,SP,1921,UNNAMED,Not in target basins
1921090S12148,SP,1921,UNNAMED,Not in target basins
1921091S12147,SP,1921,UNNAMED,Not in target basins
1921092S14151,SP,1921,UNNAMED,Not in target basins
1921094S14151,SP,1921,UNNAMED,Not in target basins
1921182S24151,SP,1922,UNNAMED,Not in target basins
1921183S29150,SP,1922,UNNAMED,Not in target basins
1921202S16158,SP,1922,UNNAMED,Not in target basins
1921275S28156,SP,1922,UNNAMED,Not in target basins
1922016S12152,SP,1922,UNNAMED,Not in target basins
1922018S13151,SP,1922,UNNAMED,Not in target basins
1922018S21172,SP,1922,UNNAMED,Not in target basins
1922038S20156,SP,1922,UNNAMED,Not in target basins
1922051S24155,SP,1922,UNNAMED,Not in target basins
1923018S12152,SP,1923,UNNAMED,Not in target basins
1923028S15168,SP,1923,UNNAMED,Not in target basins
1923041S12163,SP,1923,UNNAMED,Not in target basins
1923045S14166,SP,1923,UNNAMED,Not in target basins
1923050S12152,SP,1923,UNNAMED,Not in target basins
1923053S11151,SP,1923,UNNAMED,Not in target basins
1923055S11151,SP,1923,UNNAMED,Not in target basins
1923080S12146,SP,1923,UNNAMED,Not in target basins
1923084S11153,SP,1923,UNNAMED,Not in target basins
1923101S21156,SP,1923,UNNAMED,Not in target basins
1923103S21156,SP,1923,UNNAMED,Not in target basins
1923114S23141,SP,1923,UNNAMED,Not in target basins
1923153S29143,SP,1923,UNNAMED,Not in target basins
1923176S37150,SP,1923,UNNAMED,Not in target basins
1923285N10267,EP,1923,UNNAMED,Not in target basins
1924018S20157,SP,1924,UNNAMED,Not in target basins
1924020S20157,SP,1924,UNNAMED,Not in target basins
1925055S18153,SP,1925,UNNAMED,Not in target basins
1925153S19152,SP,1925,UNNAMED,Not in target basins
1925169S20152,SP,1925,UNNAMED,Not in target basins
1926038S15151,SP,1926,UNNAMED,Not in target basins
1926040S15151,SP,1926,UNNAMED,Not in target basins
1926081S16129,SP,1926,UNNAMED,Not in target basins
1926083S17129,SP,1926,UNNAMED,Not in target basins
1926122S21154,SP,1926,UNNAMED,Not in target basins
1926136S22154,SP,1926,UNNAMED,Not in target basins
1927037S15153,SP,1927,UNNAMED,Not in target basins
1927039S15153,SP,1927,UNNAMED,Not in target basins
1927061S27155,SP,1927,UNNAMED,Not in target basins
1927089S15153,SP,1927,UNNAMED,Not in target basins
1927333S22157,SP,1928,UNNAMED,Not in target basins
1928044S25155,SP,1928,UNNAMED,Not in target basins
1928062S17148,SP,1928,UNNAMED,Not in target basins
1928110S18153,SP,1928,UNNAMED,Not in target basins
1928110S21154,SP,1928,UNNAMED,Not in target basins
1929011S20154,SP,1929,UNNAMED,Not in target basins
1929021S16151,SP,1929,UNNAMED,Not in target basins
1929051S18151,SP,1929,UNNAMED,Not in target basins
1929055S14153,SP,1929,UNNAMED,Not in target basins
1929057S16144,SP,1929,UNNAMED,Not in target basins
1929153S17154,SP,1929,UNNAMED,Not in target basins
1929153S26157,SP,1929,UNNAMED,Not in target basins
1929165S18154,SP,1929,UNNAMED,Not in target basins
1930004S14149,SP,1930,UNNAMED,Not in target basins
1930019S15153,SP,1930,UNNAMED,Not in target basins
1930028S17150,SP,1930,UNNAMED,Not in target basins
1930061S14150,SP,1930,UNNAMED,Not in target basins
1931030S15137,SP,1931,UNNAMED,Not in target basins
1931183S32155,SP,1932,UNNAMED,Not in target basins
1932017S14141,SP,1932,UNNAMED,Not in target basins
1933066S22155,SP,1933,UNNAMED,Not in target basins
1933069S15153,SP,1933,UNNAMED,Not in target basins
1933092S24153,SP,1933,UNNAMED,Not in target basins
1933183S18154,SP,1934,UNNAMED,Not in target basins
1933359S17154,SP,1934,UNNAMED,Not in target basins
1934018S14156,SP,1934,UNNAMED,Not in target basins
1934031S17140,SP,1934,UNNAMED,Not in target basins
1934050S13147,SP,1934,UNNAMED,Not in target basins
1934069S12153,SP,1934,UNNAMED,Not in target basins
1934156N17273,EP,1934,UNNAMED,Not in target basins
1934183S20157,SP,1935,UNNAMED,Not in target basins
1934242S21157,SP,1935,UNNAMED,Not in target basins
1935015S13137,SP,1935,UNNAMED,Not in target basins
1935053S14156,SP,1935,UNNAMED,Not in target basins
1935122S14154,SP,1935,UNNAMED,Not in target basins
1935145S15154,SP,1935,UNNAMED,Not in target basins
1935183S17152,SP,1936,UNNAMED,Not in target basins
1935188S18151,SP,1936,UNNAMED,Not in target basins
1936045S12152,SP,1936,UNNAMED,Not in target basins
1936078S14155,SP,1936,UNNAMED,Not in target basins
1937046S14158,SP,1937,UNNAMED,Not in target basins
1937047S15160,SP,1937,UNNAMED,Not in target basins
1937065S09130,SP,1937,UNNAMED,Not in target basins
