SID,BASIN,SEASON,NAME,max_wind_kt,min_pressure_hpa,max_category,record_count,first_time,last_time,intensity_class
1859070S05448,SI,1859,UNNAMED,,,-5,37,1859-03-10 18:00:00,1859-03-15 06:00:00,Unknown
1859101S10091,SI,1859,UNNAMED,,,-5,33,1859-04-11 06:00:00,1859-04-15 06:00:00,Unknown
1859101S10451,SI,1859,UNNAMED,,,-5,21,1859-04-10 18:00:00,1859-04-13 06:00:00,Unknown
1859152S05087,SI,1859,UNNAMED,,,-5,21,1859-05-31 18:00:00,1859-06-03 06:00:00,Unknown
1859162S04088,SI,1859,UNNAMED,,,-5,33,1859-06-11 06:00:00,1859-06-15 06:00:00,Unknown
1859335S05090,SI,1860,UNNAMED,,,-5,37,1859-11-30 18:00:00,1859-12-05 06:00:00,Unknown
1859335S05091,SI,1860,UNNAMED,,,-5,49,1859-12-01 06:00:00,1859-12-07 06:00:00,Unknown
1859335S14043,SI,1860,UNNAMED,,,-5,37,1859-11-30 18:00:00,1859-12-05 06:00:00,Unknown
1860011S13068,SI,1860,UNNAMED,,,-5,65,1860-01-11 06:00:00,1860-01-19 06:00:00,Unknown
1860011S14067,SI,1860,UNNAMED,,,-5,41,1860-01-11 06:00:00,1860-01-16 06:00:00,Unknown
1860011S15076,SI,1860,UNNAMED,,,-5,41,1860-01-11 06:00:00,1860-01-16 06:00:00,Unknown
1860021S16057,SI,1860,UNNAMED,,,-5,41,1860-01-21 06:00:00,1860-01-26 06:00:00,Unknown
1860039S17057,SI,1860,UNNAMED,,,-5,37,1860-02-07 18:00:00,1860-02-12 06:00:00,Unknown
1860042S17057,SI,1860,UNNAMED,,,-5,49,1860-02-11 06:00:00,1860-02-17 06:00:00,Unknown
1860052S10081,SI,1860,UNNAMED,,,-5,57,1860-02-21 06:00:00,1860-02-28 06:00:00,Unknown
1860052S12105,SI,1860,UNNAMED,,,-5,25,1860-02-21 06:00:00,1860-02-24 06:00:00,Unknown
1860052S14057,SI,1860,UNNAMED,,,-5,57,1860-02-21 06:00:00,1860-02-28 06:00:00,Unknown
1860061S13085,SI,1860,UNNAMED,,,-5,57,1860-03-01 06:00:00,1860-03-08 06:00:00,Unknown
1860061S13445,SI,1860,UNNAMED,,,-5,37,1860-02-29 18:00:00,1860-03-05 06:00:00,Unknown
1860081S14069,SI,1860,UNNAMED,,,-5,81,1860-03-21 06:00:00,1860-03-31 06:00:00,Unknown
1860081S14429,SI,1860,UNNAMED,,,-5,69,1860-03-20 18:00:00,1860-03-29 06:00:00,Unknown
1860112S11085,SI,1860,UNNAMED,,,-5,13,1860-04-20 18:00:00,1860-04-22 06:00:00,Unknown
1860112S11086,SI,1860,UNNAMED,,,-5,25,1860-04-21 06:00:00,1860-04-24 06:00:00,Unknown
1860122S07087,SI,1860,UNNAMED,,,-5,49,1860-05-01 06:00:00,1860-05-07 06:00:00,Unknown
1860122S07447,SI,1860,UNNAMED,,,-5,37,1860-04-30 18:00:00,1860-05-05 06:00:00,Unknown
1860336S08087,SI,1861,UNNAMED,,,-5,49,1860-12-01 06:00:00,1860-12-07 06:00:00,Unknown
