ID,Type,RequestedTimestamp,RequestedLat,RequestedLon,ERA5Timestamp,CenterLat,CenterLon,GridDistanceKm,QC_Status
2015301N11065,TC,2015-10-27T12:00:00,10.7,65.1,2015-10-27T12:00:00,10.75,65.0,12.2586,PASSED
2019296N15066,TC,2019-10-22T18:00:00,14.7,66.4,2019-10-22T18:00:00,14.75,66.5,12.1064,PASSED
2019116N02090,TC,2019-04-25T18:00:00,1.9,90.2,2019-04-25T18:00:00,2.0,90.25,12.4305,PASSED
2006114N08090,TC,2006-04-24T06:00:00,8.4,90.1,2006-04-24T06:00:00,8.5,90.0,15.6402,PASSED
2013281N12098,TC,2013-10-07T12:00:00,11.8,97.6,2013-10-07T12:00:00,11.75,97.5,12.2231,PASSED
1999135N12073,TC,1999-05-15T00:00:00,12.0,72.5,1999-05-15T00:00:00,12.0,72.5,0.0,PASSED
1990065S07083,TC,1990-03-05T18:00:00,-6.9,82.9,1990-03-05T18:00:00,-7.0,83.0,15.6677,PASSED
2000075S17119,TC,2000-03-14T18:00:00,-17.1,118.6,2000-03-14T18:00:00,-17.0,118.5,15.3837,PASSED
1993056S21051,TC,1993-02-24T12:00:00,-20.6,51.1,1993-02-24T12:00:00,-20.5,51.0,15.2332,PASSED
1999015S20036,TC,1999-01-14T12:00:00,-20.2,36.1,1999-01-14T12:00:00,-20.25,36.0,11.8227,PASSED
2022114S12100,TC,2022-04-23T18:00:00,-12.0,100.1,2022-04-23T18:00:00,-12.0,100.0,10.8765,PASSED
1991046S15122,TC,1991-02-15T06:00:00,-15.0,122.0,1991-02-15T06:00:00,-15.0,122.0,0.0,PASSED
2017060S09139,TC,2017-03-01T00:00:00,-9.0,138.5,2017-03-01T00:00:00,-9.0,138.5,0.0,PASSED
1989010S15063,TC,1989-01-10T06:00:00,-15.0,62.6,1989-01-10T06:00:00,-15.0,62.5,10.7406,PASSED
2001039S13117,TC,2001-02-07T18:00:00,-13.3,116.8,2001-02-07T18:00:00,-13.25,116.75,7.7583,PASSED
2020355S11065,TC,2020-12-20T06:00:00,-11.4,64.9,2020-12-20T06:00:00,-11.5,65.0,15.5697,PASSED
2008290S05071,TC,2008-10-15T18:00:00,-5.2,70.6,2008-10-15T18:00:00,-5.25,70.5,12.3907,PASSED
1992048S18067,TC,1992-02-16T12:00:00,-17.5,66.6,1992-02-16T12:00:00,-17.5,66.5,10.6049,PASSED
2002247S03067,TC,2002-09-04T06:00:00,-2.5,67.2,2002-09-04T06:00:00,-2.5,67.25,5.5545,PASSED
2022008S13148,TC,2022-01-08T00:00:00,-12.6,147.7,2022-01-08T00:00:00,-12.5,147.75,12.3731,PASSED
2017332S08098,TC,2017-11-27T12:00:00,-7.8,97.5,2017-11-27T12:00:00,-7.75,97.5,5.5598,PASSED
1994362S11054,TC,1994-12-27T18:00:00,-10.5,54.0,1994-12-27T18:00:00,-10.5,54.0,0.0,PASSED
1988138S07092,TC,1988-05-17T03:00:00,-6.8,91.6,1988-05-17T03:00:00,-6.75,91.5,12.3626,PASSED
1981069S12135,TC,1981-03-09T20:00:00,-11.6,135.1,1981-03-09T20:00:00,-11.5,135.0,15.567,PASSED
2008023S10050,TC,2008-01-22T18:00:00,-9.7,49.8,2008-01-22T18:00:00,-9.75,49.75,7.8064,PASSED
2007066S12066,TC,2007-03-07T00:00:00,-11.6,66.1,2007-03-07T00:00:00,-11.5,66.0,15.567,PASSED
2003098S23041,TC,2003-04-08T00:00:00,-23.4,40.7,2003-04-08T00:00:00,-23.5,40.75,12.2335,PASSED
2013041S10087,TC,2013-02-09T12:00:00,-9.6,87.0,2013-02-09T12:00:00,-9.5,87.0,11.1195,PASSED
2023013S08081,TC,2023-01-13T06:00:00,-8.2,81.0,2023-01-13T06:00:00,-8.25,81.0,5.5598,PASSED
2020053S12119,TC,2020-02-22T00:00:00,-12.0,119.0,2020-02-22T00:00:00,-12.0,119.0,0.0,PASSED
2025017S18122,TC,2025-01-17T00:00:00,-17.7,122.2,2025-01-17T00:00:00,-17.75,122.25,7.6783,PASSED
2020034S17129,TC,2020-02-03T00:00:00,-16.7,129.3,2020-02-03T00:00:00,-16.75,129.25,7.6982,PASSED
1993348S13120,TC,1993-12-14T06:00:00,-13.3,119.5,1993-12-14T06:00:00,-13.25,119.5,5.5598,PASSED
2002023S10089,TC,2002-01-22T12:00:00,-9.8,89.1,2002-01-22T12:00:00,-9.75,89.0,12.2878,PASSED
1996098S13085,TC,1996-04-06T12:00:00,-12.8,85.1,1996-04-06T12:00:00,-12.75,85.0,12.1864,PASSED
1984339S05102,TC,1984-12-03T18:00:00,-5.3,102.0,1984-12-03T18:00:00,-5.25,102.0,5.5598,PASSED
1995017S10078,TC,1995-01-16T18:00:00,-9.5,78.0,1995-01-16T18:00:00,-9.5,78.0,0.0,PASSED
2004025S16044,TC,2004-01-24T12:00:00,-15.8,44.2,2004-01-24T12:00:00,-15.75,44.25,7.716,PASSED
2013052S13126,TC,2013-02-21T06:00:00,-13.0,125.9,2013-02-21T06:00:00,-13.0,126.0,10.8345,PASSED
1988310S08100,TC,1988-11-05T06:00:00,-8.2,99.7,1988-11-05T06:00:00,-8.25,99.75,7.8223,PASSED
2006081S14129,TC,2006-03-22T00:00:00,-14.0,128.5,2006-03-22T00:00:00,-14.0,128.5,0.0,PASSED
2009342S09140,TC,2009-12-08T00:00:00,-8.9,139.5,2009-12-08T00:00:00,-9.0,139.5,11.1195,PASSED
2002063S11066,TC,2002-03-03T12:00:00,-10.5,65.8,2002-03-03T12:00:00,-10.5,65.75,5.4667,PASSED
2000060S17123,TC,2000-02-28T22:00:00,-17.3,123.0,2000-02-28T22:00:00,-17.25,123.0,5.5598,PASSED
2014007S11104,TC,2014-01-07T06:00:00,-11.0,103.6,2014-01-07T06:00:00,-11.0,103.5,10.9152,PASSED
2003062S10080,TC,2003-03-03T06:00:00,-10.4,80.4,2003-03-03T06:00:00,-10.5,80.5,15.5955,PASSED
2024313S06092,TC,2024-11-08T06:00:00,-6.4,92.2,2024-11-08T06:00:00,-6.5,92.25,12.4163,PASSED
2008062S10064,TC,2008-03-02T06:00:00,-10.0,64.4,2008-03-02T06:00:00,-10.0,64.5,10.9506,PASSED
1994064S13099,TC,1994-03-05T00:00:00,-12.8,98.6,1994-03-05T00:00:00,-12.75,98.5,12.1864,PASSED
2018025S09080,TC,2018-01-25T06:00:00,-9.4,80.3,2018-01-25T06:00:00,-9.5,80.25,12.3984,PASSED
1992096S08132,TC,1992-04-04T18:00:00,-8.3,131.6,1992-04-04T18:00:00,-8.25,131.5,12.3285,PASSED
2003088S07131,TC,2003-03-29T06:00:00,-7.0,130.6,2003-03-29T06:00:00,-7.0,130.5,11.0366,PASSED
2002033S13121,TC,2002-02-02T04:00:00,-13.1,120.8,2002-02-02T04:00:00,-13.0,120.75,12.3684,PASSED
2018073S09129,TC,2018-03-14T00:00:00,-9.0,129.0,2018-03-14T00:00:00,-9.0,129.0,0.0,PASSED
2025039S14125,TC,2025-02-08T00:00:00,-14.1,125.4,2025-02-08T00:00:00,-14.0,125.5,15.4919,PASSED
1992096S05101,TC,1992-04-05T06:00:00,-5.3,100.8,1992-04-05T06:00:00,-5.25,100.75,7.846,PASSED
1994197N14115,TC,1994-07-16T06:00:00,13.8,114.5,1994-07-16T06:00:00,13.75,114.5,5.5598,PASSED
2013158N13129,TC,2013-06-06T18:00:00,12.9,128.5,2013-06-06T18:00:00,13.0,128.5,11.1195,PASSED
2003196N11137,TC,2003-07-14T12:00:00,10.5,136.9,2003-07-14T12:00:00,10.5,137.0,10.9333,PASSED
1999204N17117,TC,1999-07-23T00:00:00,16.5,116.8,1999-07-23T00:00:00,16.5,116.75,5.3308,PASSED
2025191N19142,TC,2025-07-09T18:00:00,19.2,141.6,2025-07-09T18:00:00,19.25,141.5,11.8806,PASSED
1992279N08175,TC,1992-10-05T00:00:00,7.8,174.9,1992-10-05T00:00:00,7.75,175.0,12.3406,PASSED
2017209N19118,TC,2017-07-27T12:00:00,19.2,117.9,2017-07-27T12:00:00,19.25,118.0,11.8806,PASSED
2018251N20122,TC,2018-09-08T06:00:00,20.4,121.7,2018-09-08T06:00:00,20.5,121.75,12.2793,PASSED
2019236N08143,TC,2019-08-24T06:00:00,8.4,142.5,2019-08-24T06:00:00,8.5,142.5,11.1195,PASSED
2014160N21120,TC,2014-06-09T00:00:00,20.9,120.0,2014-06-09T00:00:00,21.0,120.0,11.1195,PASSED
2009213N16130,TC,2009-07-31T12:00:00,15.7,129.8,2009-07-31T12:00:00,15.75,129.75,7.7169,PASSED
2015274N17167,TC,2015-10-01T06:00:00,16.9,166.9,2015-10-01T06:00:00,17.0,167.0,15.3876,PASSED
2008226N22134,TC,2008-08-12T18:00:00,22.4,134.3,2008-08-12T18:00:00,22.5,134.25,12.2494,PASSED
1988356N05142,TC,1988-12-21T06:00:00,5.0,141.5,1988-12-21T06:00:00,5.0,141.5,0.0,PASSED
1990216N29125,TC,1990-08-04T00:00:00,28.6,125.4,1990-08-04T00:00:00,28.5,125.5,14.8002,PASSED
2014093N02148,TC,2014-04-02T18:00:00,1.8,148.4,2014-04-02T18:00:00,1.75,148.5,12.4272,PASSED
1989010N16212,TC,1989-01-09T12:00:00,15.9,211.7,1989-01-09T12:00:00,16.0,-148.25,12.3378,PASSED
2007306N18133,TC,2007-11-01T18:00:00,18.0,132.6,2007-11-01T18:00:00,18.0,132.5,10.5753,PASSED
2000184N13133,TC,2000-07-02T00:00:00,13.1,133.4,2000-07-02T00:00:00,13.0,133.5,15.5236,PASSED
2023239N18144,TC,2023-08-27T00:00:00,18.1,144.4,2023-08-27T00:00:00,18.0,144.5,15.3433,PASSED
2023207N09141,TC,2023-07-26T06:00:00,8.9,141.3,2023-07-26T06:00:00,9.0,141.25,12.4019,PASSED
1995287N08163,TC,1995-10-13T18:00:00,8.4,162.5,1995-10-13T18:00:00,8.5,162.5,11.1195,PASSED
1990171N11148,TC,1990-06-20T00:00:00,11.0,148.3,1990-06-20T00:00:00,11.0,148.25,5.4576,PASSED
2003290N15132,TC,2003-10-17T06:00:00,15.1,131.8,2003-10-17T06:00:00,15.0,131.75,12.3479,PASSED
2000299N08139,TC,2000-10-24T18:00:00,8.3,139.3,2000-10-24T18:00:00,8.25,139.25,7.8219,PASSED
1989221N10149,TC,1989-08-09T00:00:00,10.1,148.9,1989-08-09T00:00:00,10.0,149.0,15.6052,PASSED
1984290N06153,TC,1984-10-16T00:00:00,6.0,153.0,1984-10-16T00:00:00,6.0,153.0,0.0,PASSED
